,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Bayer Leverkusen,80.0,20.0,0.0,100.0,76.0,40.0,16.0,52.0,24.0,0.0,0.0,100.0,88.0,60.0,36.0,28.0,100.0
Stuttgart,57.89474,5.26316,36.84211,84.21053,57.89474,31.57895,5.26316,68.42105,42.10526,21.05263,5.26316,100.0,84.21053,73.68421,42.10526,15.78947,84.21053
Bayern Munich,52.0,12.0,36.0,92.0,68.0,32.0,20.0,80.0,52.0,24.0,8.0,100.0,88.0,88.0,64.0,28.0,92.0
RB Leipzig,50.0,20.83333,29.16667,91.66667,66.66667,37.5,12.5,87.5,41.66667,12.5,4.16667,100.0,91.66667,75.0,50.0,33.33333,91.66667
Dortmund,48.0,28.0,24.0,84.0,44.0,28.0,12.0,72.0,32.0,12.0,4.0,96.0,88.0,52.0,28.0,16.0,84.0
Eintracht Frankfurt,28.0,32.0,40.0,76.0,36.0,16.0,4.0,80.0,56.0,16.0,0.0,100.0,92.0,56.0,28.0,8.0,76.0
Hoffenheim,42.10526,10.52632,47.36842,89.47368,57.89474,36.84211,10.52632,89.47368,68.42105,31.57895,5.26316,100.0,94.73684,84.21053,68.42105,47.36842,89.47368
Heidenheim,21.05263,36.84211,42.10526,84.21053,31.57895,10.52632,5.26316,84.21053,52.63158,21.05263,10.52632,100.0,84.21053,52.63158,36.84211,21.05263,84.21053
Werder Bremen,22.22222,27.77778,50.0,77.77778,33.33333,5.55556,0.0,77.77778,50.0,22.22222,16.66667,100.0,72.22222,50.0,33.33333,22.22222,77.77778
Freiburg,39.13043,13.04348,47.82609,65.21739,30.43478,13.04348,0.0,65.21739,52.17391,30.43478,8.69565,86.95652,73.91304,65.21739,30.43478,17.3913,65.21739
Augsburg,22.22222,16.66667,61.11111,66.66667,22.22222,16.66667,11.11111,94.44444,61.11111,33.33333,5.55556,100.0,94.44444,61.11111,38.88889,16.66667,66.66667
Wolfsburg,26.31579,15.78947,57.89474,63.15789,31.57895,5.26316,5.26316,84.21053,47.36842,31.57895,5.26316,100.0,78.94737,52.63158,36.84211,10.52632,63.15789
Mainz 05,10.52632,47.36842,42.10526,68.42105,15.78947,5.26316,0.0,78.94737,47.36842,26.31579,15.78947,84.21053,73.68421,52.63158,36.84211,10.52632,68.42105
Monchengladbach,15.78947,36.84211,47.36842,84.21053,47.36842,36.84211,10.52632,89.47368,68.42105,47.36842,21.05263,94.73684,94.73684,78.94737,68.42105,31.57895,84.21053
Union Berlin,13.63636,27.27273,59.09091,40.90909,18.18182,9.09091,9.09091,77.27273,40.90909,18.18182,9.09091,86.36364,63.63636,31.81818,22.72727,13.63636,40.90909
Bochum,11.11111,27.77778,61.11111,61.11111,27.77778,11.11111,5.55556,88.88889,72.22222,50.0,33.33333,88.88889,83.33333,72.22222,55.55556,33.33333,61.11111
Koln,10.52632,42.10526,47.36842,68.42105,15.78947,10.52632,0.0,94.73684,47.36842,26.31579,10.52632,100.0,89.47368,36.84211,26.31579,21.05263,68.42105
