,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Bayer Leverkusen,84.61538,15.38462,0.0,96.15385,92.30769,61.53846,34.61538,57.69231,19.23077,0.0,0.0,96.15385,96.15385,84.61538,57.69231,30.76923,96.15385
Stuttgart,78.94737,15.78947,5.26316,100.0,84.21053,57.89474,21.05263,52.63158,15.78947,10.52632,0.0,100.0,94.73684,68.42105,52.63158,26.31579,100.0
Bayern Munich,75.0,12.5,12.5,83.33333,75.0,45.83333,20.83333,54.16667,25.0,8.33333,0.0,95.83333,83.33333,70.83333,37.5,20.83333,83.33333
RB Leipzig,61.90476,19.04762,19.04762,80.95238,71.42857,38.09524,14.28571,61.90476,14.28571,9.52381,0.0,90.47619,80.95238,61.90476,42.85714,19.04762,80.95238
Dortmund,62.5,20.83333,16.66667,87.5,54.16667,33.33333,20.83333,58.33333,29.16667,12.5,4.16667,95.83333,70.83333,50.0,45.83333,25.0,87.5
Eintracht Frankfurt,45.45455,36.36364,18.18182,90.90909,50.0,22.72727,9.09091,68.18182,31.81818,9.09091,4.54545,90.90909,81.81818,59.09091,36.36364,18.18182,90.90909
Hoffenheim,35.29412,29.41176,35.29412,88.23529,47.05882,35.29412,11.76471,100.0,47.05882,35.29412,0.0,100.0,94.11765,70.58824,52.94118,23.52941,88.23529
Heidenheim,41.17647,29.41176,29.41176,88.23529,47.05882,29.41176,11.76471,76.47059,52.94118,11.76471,5.88235,88.23529,82.35294,58.82353,41.17647,41.17647,88.23529
Werder Bremen,41.17647,23.52941,35.29412,82.35294,58.82353,17.64706,11.76471,82.35294,47.05882,17.64706,5.88235,100.0,100.0,70.58824,41.17647,11.76471,82.35294
Freiburg,39.13043,30.43478,30.43478,95.65217,52.17391,26.08696,8.69565,69.56522,52.17391,30.43478,8.69565,95.65217,86.95652,65.21739,52.17391,39.13043,95.65217
Augsburg,35.29412,35.29412,29.41176,82.35294,52.94118,11.76471,5.88235,88.23529,41.17647,17.64706,5.88235,100.0,82.35294,58.82353,29.41176,17.64706,82.35294
Wolfsburg,38.88889,22.22222,38.88889,94.44444,44.44444,5.55556,0.0,72.22222,44.44444,22.22222,0.0,100.0,83.33333,61.11111,33.33333,5.55556,94.44444
Mainz 05,35.29412,29.41176,35.29412,76.47059,29.41176,17.64706,11.76471,70.58824,17.64706,17.64706,0.0,100.0,76.47059,35.29412,23.52941,5.88235,76.47059
Monchengladbach,36.84211,31.57895,31.57895,73.68421,47.36842,26.31579,10.52632,78.94737,47.36842,15.78947,0.0,89.47368,78.94737,73.68421,36.84211,10.52632,73.68421
Union Berlin,35.0,10.0,55.0,65.0,45.0,15.0,5.0,85.0,50.0,35.0,10.0,100.0,80.0,60.0,35.0,25.0,65.0
Bochum,29.41176,47.05882,23.52941,94.11765,35.29412,23.52941,0.0,88.23529,47.05882,17.64706,11.76471,100.0,94.11765,58.82353,47.05882,23.52941,94.11765
Koln,23.52941,23.52941,52.94118,52.94118,23.52941,11.76471,0.0,82.35294,47.05882,17.64706,11.76471,88.23529,76.47059,41.17647,29.41176,11.76471,52.94118
Darmstadt 98,5.88235,17.64706,76.47059,47.05882,23.52941,11.76471,5.88235,94.11765,70.58824,41.17647,23.52941,94.11765,70.58824,64.70588,47.05882,35.29412,47.05882
FC Teutonia Ottensen,,,,,,,,,,,,,,,,,
Gladbach,,,,,,,,,,,,,,,,,
se Häcken,,,,,,,,,,,,,,,,,
no Molde,,,,,,,,,,,,,,,,,
Köln,,,,,,,,,,,,,,,,,
az Qarabağ,,,,,,,,,,,,,,,,,
Sandhausen,,,,,,,,,,,,,,,,,
Paderborn 07,,,,,,,,,,,,,,,,,
Eint Frankfurt,,,,,,,,,,,,,,,,,
Düsseldorf,,,,,,,,,,,,,,,,,
eng West Ham,,,,,,,,,,,,,,,,,
it Roma,,,,,,,,,,,,,,,,,
TSG Balingen,,,,,,,,,,,,,,,,,
Leverkusen,,,,,,,,,,,,,,,,,
eng Manchester Utd,,,,,,,,,,,,,,,,,
Preußen Münster,,,,,,,,,,,,,,,,,
dk FC Copenhagen,,,,,,,,,,,,,,,,,
tr Galatasaray,,,,,,,,,,,,,,,,,
Saarbrücken,,,,,,,,,,,,,,,,,
it Lazio,,,,,,,,,,,,,,,,,
eng Arsenal,,,,,,,,,,,,,,,,,
es Real Madrid,,,,,,,,,,,,,,,,,
ch Young Boys,,,,,,,,,,,,,,,,,
Wehen,,,,,,,,,,,,,,,,,
eng Manchester City,,,,,,,,,,,,,,,,,
rs Red Star,,,,,,,,,,,,,,,,,
TSV Schott Mainz,,,,,,,,,,,,,,,,,
fr Paris S-G,,,,,,,,,,,,,,,,,
it Milan,,,,,,,,,,,,,,,,,
eng Newcastle Utd,,,,,,,,,,,,,,,,,
nl PSV Eindhoven,,,,,,,,,,,,,,,,,
es Atlético Madrid,,,,,,,,,,,,,,,,,
Loko Leipzig,,,,,,,,,,,,,,,,,
bg Levski Sofia,,,,,,,,,,,,,,,,,
sct Aberdeen,,,,,,,,,,,,,,,,,
gr PAOK,,,,,,,,,,,,,,,,,
fi HJK,,,,,,,,,,,,,,,,,
Viktoria Köln,,,,,,,,,,,,,,,,,
be Union SG,,,,,,,,,,,,,,,,,
Lübeck,,,,,,,,,,,,,,,,,
Rostocker FC,,,,,,,,,,,,,,,,,
SV Oberachern,,,,,,,,,,,,,,,,,
gr Olympiacos,,,,,,,,,,,,,,,,,
rs TSC Bačka Top,,,,,,,,,,,,,,,,,
fr Lens,,,,,,,,,,,,,,,,,
Unterhaching,,,,,,,,,,,,,,,,,
TuS Makkabi Berlin,,,,,,,,,,,,,,,,,
Elversberg,,,,,,,,,,,,,,,,,
Hertha BSC,,,,,,,,,,,,,,,,,
TuS Bersenbrück,,,,,,,,,,,,,,,,,
Astoria Walldorf,,,,,,,,,,,,,,,,,
pt Braga,,,,,,,,,,,,,,,,,
it Napoli,,,,,,,,,,,,,,,,,
Arminia,,,,,,,,,,,,,,,,,
Osnabrück,,,,,,,,,,,,,,,,,
Kaiserslautern,,,,,,,,,,,,,,,,,
Homburg,,,,,,,,,,,,,,,,,
