,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Bayer Leverkusen,82.35294,17.64706,0.0,98.03922,84.31373,50.98039,25.4902,54.90196,21.56863,0.0,0.0,98.03922,92.15686,72.54902,47.05882,29.41176,98.03922
Stuttgart,68.42105,10.52632,21.05263,92.10526,71.05263,44.73684,13.15789,60.52632,28.94737,15.78947,2.63158,100.0,89.47368,71.05263,47.36842,21.05263,92.10526
Bayern Munich,63.26531,12.2449,24.4898,87.7551,71.42857,38.77551,20.40816,67.34694,38.77551,16.32653,4.08163,97.95918,85.71429,79.59184,51.02041,24.4898,87.7551
RB Leipzig,55.55556,20.0,24.44444,86.66667,68.88889,37.77778,13.33333,75.55556,28.88889,11.11111,2.22222,95.55556,86.66667,68.88889,46.66667,26.66667,86.66667
Dortmund,55.10204,24.4898,20.40816,85.71429,48.97959,30.61224,16.32653,65.30612,30.61224,12.2449,4.08163,95.91837,79.59184,51.02041,36.73469,20.40816,85.71429
Eintracht Frankfurt,36.17021,34.04255,29.78723,82.97872,42.55319,19.14894,6.38298,74.46809,44.68085,12.76596,2.12766,95.74468,87.23404,57.44681,31.91489,12.76596,82.97872
Hoffenheim,38.88889,19.44444,41.66667,88.88889,52.77778,36.11111,11.11111,94.44444,58.33333,33.33333,2.77778,100.0,94.44444,77.77778,61.11111,36.11111,88.88889
Heidenheim,30.55556,33.33333,36.11111,86.11111,38.88889,19.44444,8.33333,80.55556,52.77778,16.66667,8.33333,94.44444,83.33333,55.55556,38.88889,30.55556,86.11111
Werder Bremen,31.42857,25.71429,42.85714,80.0,45.71429,11.42857,5.71429,80.0,48.57143,20.0,11.42857,100.0,85.71429,60.0,37.14286,17.14286,80.0
Freiburg,39.13043,21.73913,39.13043,80.43478,41.30435,19.56522,4.34783,67.3913,52.17391,30.43478,8.69565,91.30435,80.43478,65.21739,41.30435,28.26087,80.43478
Augsburg,28.57143,25.71429,45.71429,74.28571,37.14286,14.28571,8.57143,91.42857,51.42857,25.71429,5.71429,100.0,88.57143,60.0,34.28571,17.14286,74.28571
Wolfsburg,32.43243,18.91892,48.64865,78.37838,37.83784,5.40541,2.7027,78.37838,45.94595,27.02703,2.7027,100.0,81.08108,56.75676,35.13514,8.10811,78.37838
Mainz 05,22.22222,38.88889,38.88889,72.22222,22.22222,11.11111,5.55556,75.0,33.33333,22.22222,8.33333,91.66667,75.0,44.44444,30.55556,8.33333,72.22222
Monchengladbach,26.31579,34.21053,39.47368,78.94737,47.36842,31.57895,10.52632,84.21053,57.89474,31.57895,10.52632,92.10526,86.84211,76.31579,52.63158,21.05263,78.94737
Union Berlin,23.80952,19.04762,57.14286,52.38095,30.95238,11.90476,7.14286,80.95238,45.2381,26.19048,9.52381,92.85714,71.42857,45.2381,28.57143,19.04762,52.38095
Bochum,20.0,37.14286,42.85714,77.14286,31.42857,17.14286,2.85714,88.57143,60.0,34.28571,22.85714,94.28571,88.57143,65.71429,51.42857,28.57143,77.14286
Koln,16.66667,33.33333,50.0,61.11111,19.44444,11.11111,0.0,88.88889,47.22222,22.22222,11.11111,94.44444,83.33333,38.88889,27.77778,16.66667,61.11111
Darmstadt 98,8.57143,22.85714,68.57143,48.57143,25.71429,8.57143,2.85714,91.42857,65.71429,45.71429,22.85714,94.28571,77.14286,62.85714,45.71429,28.57143,48.57143
FC Teutonia Ottensen,,,,,,,,,,,,,,,,,
Gladbach,,,,,,,,,,,,,,,,,
se Häcken,,,,,,,,,,,,,,,,,
no Molde,,,,,,,,,,,,,,,,,
Köln,,,,,,,,,,,,,,,,,
az Qarabağ,,,,,,,,,,,,,,,,,
Sandhausen,,,,,,,,,,,,,,,,,
Paderborn 07,,,,,,,,,,,,,,,,,
Eint Frankfurt,,,,,,,,,,,,,,,,,
Düsseldorf,,,,,,,,,,,,,,,,,
eng West Ham,,,,,,,,,,,,,,,,,
it Roma,,,,,,,,,,,,,,,,,
TSG Balingen,,,,,,,,,,,,,,,,,
Leverkusen,,,,,,,,,,,,,,,,,
eng Manchester Utd,,,,,,,,,,,,,,,,,
Preußen Münster,,,,,,,,,,,,,,,,,
dk FC Copenhagen,,,,,,,,,,,,,,,,,
tr Galatasaray,,,,,,,,,,,,,,,,,
Saarbrücken,,,,,,,,,,,,,,,,,
it Lazio,,,,,,,,,,,,,,,,,
eng Arsenal,,,,,,,,,,,,,,,,,
es Real Madrid,,,,,,,,,,,,,,,,,
ch Young Boys,,,,,,,,,,,,,,,,,
Wehen,,,,,,,,,,,,,,,,,
eng Manchester City,,,,,,,,,,,,,,,,,
rs Red Star,,,,,,,,,,,,,,,,,
TSV Schott Mainz,,,,,,,,,,,,,,,,,
fr Paris S-G,,,,,,,,,,,,,,,,,
it Milan,,,,,,,,,,,,,,,,,
eng Newcastle Utd,,,,,,,,,,,,,,,,,
nl PSV Eindhoven,,,,,,,,,,,,,,,,,
es Atlético Madrid,,,,,,,,,,,,,,,,,
Loko Leipzig,,,,,,,,,,,,,,,,,
bg Levski Sofia,,,,,,,,,,,,,,,,,
sct Aberdeen,,,,,,,,,,,,,,,,,
gr PAOK,,,,,,,,,,,,,,,,,
fi HJK,,,,,,,,,,,,,,,,,
Viktoria Köln,,,,,,,,,,,,,,,,,
be Union SG,,,,,,,,,,,,,,,,,
Lübeck,,,,,,,,,,,,,,,,,
Rostocker FC,,,,,,,,,,,,,,,,,
SV Oberachern,,,,,,,,,,,,,,,,,
gr Olympiacos,,,,,,,,,,,,,,,,,
rs TSC Bačka Top,,,,,,,,,,,,,,,,,
fr Lens,,,,,,,,,,,,,,,,,
Unterhaching,,,,,,,,,,,,,,,,,
TuS Makkabi Berlin,,,,,,,,,,,,,,,,,
Elversberg,,,,,,,,,,,,,,,,,
Hertha BSC,,,,,,,,,,,,,,,,,
TuS Bersenbrück,,,,,,,,,,,,,,,,,
Astoria Walldorf,,,,,,,,,,,,,,,,,
pt Braga,,,,,,,,,,,,,,,,,
it Napoli,,,,,,,,,,,,,,,,,
Arminia,,,,,,,,,,,,,,,,,
Osnabrück,,,,,,,,,,,,,,,,,
Kaiserslautern,,,,,,,,,,,,,,,,,
Homburg,,,,,,,,,,,,,,,,,
