,Home_win_percentage,Home_draw_percentage,Home_lose_percentage,Home_percentage_score_over_0_5,Home_percentage_score_over_1_5,Home_percentage_score_over_2_5,Home_percentage_score_over_3_5,Home_percentage_concede_over_0.5,Home_percentage_concede_over_1.5,Home_percentage_concede_over_2.5,Home_percentage_concede_over_3.5,Home_percentage_total_goals_over_0.5,Home_percentage_total_goals_over_1.5,Home_percentage_total_goals_over_2.5,Home_percentage_total_goals_over_3.5,Home_percentage_total_goals_over_4.5,Home_percentage_team_score,Home_percentage_score_in_1st_half,Home_percentage_concede_in_1st_half,Home_percentage_score_in_2nd_half,Home_percentage_concede_in_2nd_half,Away_win_percentage,Away_draw_percentage,Away_lose_percentage,Away_percentage_score_over_0_5,Away_percentage_score_over_1_5,Away_percentage_score_over_2_5,Away_percentage_score_over_3_5,Away_percentage_concede_over_0.5,Away_percentage_concede_over_1.5,Away_percentage_concede_over_2.5,Away_percentage_concede_over_3.5,Away_percentage_total_goals_over_0.5,Away_percentage_total_goals_over_1.5,Away_percentage_total_goals_over_2.5,Away_percentage_total_goals_over_3.5,Away_percentage_total_goals_over_4.5,Away_percentage_team_score,Away_percentage_score_in_1st_half,Away_percentage_concede_in_1st_half,Away_percentage_score_in_2nd_half,Away_percentage_concede_in_2nd_half,Total_win_percentage,Total_draw_percentage,Total_lose_percentage,Total_percentage_score_over_0_5,Total_percentage_score_over_1_5,Total_percentage_score_over_2_5,Total_percentage_score_over_3_5,Total_percentage_concede_over_0.5,Total_percentage_concede_over_1.5,Total_percentage_concede_over_2.5,Total_percentage_concede_over_3.5,Total_percentage_total_goals_over_0.5,Total_percentage_total_goals_over_1.5,Total_percentage_total_goals_over_2.5,Total_percentage_total_goals_over_3.5,Total_percentage_total_goals_over_4.5,Total_percentage_team_score,Total_percentage_score_in_1st_half,Total_percentage_concede_in_1st_half,Total_percentage_score_in_2nd_half,Total_percentage_concede_in_2nd_half
0,77.78,11.11,11.11,88.89,83.33,44.44,22.22,61.11,22.22,0.0,0.0,100.0,94.44,72.22,50.0,22.22,88.89,72.22,33.33,72.22,44.44,36.84,21.05,42.11,52.63,26.32,15.79,0.0,73.68,31.58,10.53,0.0,94.74,63.16,36.84,15.79,0.0,52.63,15.79,47.37,42.11,47.37,44.45,11.11,44.45,75.0,52.77,22.22,11.11,75.0,52.77,22.22,11.11,100.0,94.44,72.22,50.0,22.22,75.0,52.77,52.77,58.33,58.33
1,27.78,38.89,33.33,83.33,44.44,22.22,0.0,77.78,55.56,22.22,11.11,88.89,83.33,66.67,55.56,22.22,83.33,55.56,50.0,50.0,66.67,15.79,21.05,63.16,57.89,31.58,21.05,5.26,100.0,63.16,47.37,36.84,100.0,84.21,68.42,52.63,31.58,57.89,42.11,73.68,36.84,73.68,30.55,38.89,30.55,80.56,50.0,22.22,5.55,80.56,50.0,22.22,5.55,88.89,83.33,66.67,55.56,22.22,80.56,52.78,52.78,58.34,58.34
2,47.06,35.29,17.65,82.35,41.18,29.41,17.65,82.35,29.41,17.65,5.88,94.12,82.35,58.82,47.06,17.65,82.35,58.82,41.18,64.71,58.82,33.33,16.67,50.0,77.78,50.0,16.67,0.0,77.78,50.0,22.22,5.56,100.0,77.78,66.67,33.33,16.67,77.78,66.67,33.33,44.44,66.67,32.36,35.29,32.36,82.35,35.3,23.53,11.76,82.35,35.3,23.53,11.76,94.12,82.35,58.82,47.06,17.65,82.35,50.0,50.0,61.77,61.77
3,11.11,22.22,66.67,61.11,22.22,5.56,5.56,94.44,66.67,33.33,22.22,100.0,94.44,55.56,38.89,27.78,61.11,33.33,72.22,44.44,72.22,47.37,26.32,26.32,89.47,47.37,21.05,0.0,78.95,57.89,5.26,0.0,100.0,89.47,52.63,36.84,21.05,89.47,42.11,42.11,78.95,68.42,38.89,22.22,38.89,77.78,44.45,19.45,13.89,77.78,44.45,19.45,13.89,100.0,94.44,55.56,38.89,27.78,77.78,52.77,52.77,58.33,58.33
4,55.56,22.22,22.22,83.33,72.22,38.89,22.22,66.67,44.44,16.67,11.11,100.0,83.33,61.11,50.0,38.89,83.33,77.78,38.89,72.22,55.56,31.58,31.58,36.84,73.68,47.37,15.79,10.53,73.68,47.37,15.79,5.26,94.74,84.21,63.16,31.58,5.26,73.68,47.37,36.84,52.63,57.89,38.89,22.22,38.89,75.0,58.33,27.78,16.66,75.0,58.33,27.78,16.66,100.0,83.33,61.11,50.0,38.89,75.0,58.34,58.34,63.89,63.89
5,38.89,22.22,38.89,77.78,50.0,33.33,11.11,72.22,50.0,16.67,5.56,88.89,83.33,61.11,44.44,27.78,77.78,50.0,33.33,61.11,61.11,15.79,21.05,63.16,78.95,42.11,21.05,5.26,94.74,68.42,57.89,21.05,100.0,89.47,78.95,73.68,31.58,78.95,31.58,68.42,73.68,84.21,38.89,22.22,38.89,75.0,50.0,25.0,8.33,75.0,50.0,25.0,8.33,88.89,83.33,61.11,44.44,27.78,75.0,41.66,41.66,61.11,61.11
6,77.78,16.67,5.56,88.89,77.78,66.67,27.78,72.22,16.67,5.56,0.0,94.44,88.89,72.22,50.0,27.78,88.89,66.67,50.0,83.33,27.78,42.11,15.79,42.11,84.21,42.11,21.05,10.53,84.21,42.11,10.53,0.0,100.0,84.21,63.16,26.32,10.53,84.21,47.37,47.37,63.16,57.89,41.67,16.67,41.67,80.56,47.23,36.12,13.89,80.56,47.23,36.12,13.89,94.44,88.89,72.22,50.0,27.78,80.56,58.34,58.34,55.55,55.55
7,22.22,22.22,55.56,94.44,33.33,11.11,5.56,88.89,50.0,27.78,11.11,100.0,88.89,66.67,33.33,22.22,94.44,33.33,55.56,72.22,72.22,42.11,10.53,47.37,68.42,36.84,15.79,5.26,63.16,42.11,36.84,10.53,94.74,78.95,63.16,36.84,15.79,68.42,36.84,42.11,57.89,57.89,38.89,22.22,38.89,91.66,41.66,19.45,8.33,91.66,41.66,19.45,8.33,100.0,88.89,66.67,33.33,22.22,91.66,44.45,44.45,72.22,72.22
8,72.22,27.78,0.0,94.44,72.22,44.44,27.78,66.67,11.11,5.56,0.0,94.44,83.33,55.56,50.0,33.33,94.44,72.22,27.78,72.22,44.44,21.05,42.11,36.84,78.95,42.11,10.53,5.26,78.95,52.63,26.32,5.26,94.74,89.47,52.63,47.37,15.79,78.95,47.37,57.89,52.63,52.63,36.11,27.78,36.11,80.56,41.66,25.0,13.89,80.56,41.66,25.0,13.89,94.44,83.33,55.56,50.0,33.33,80.56,50.0,50.0,58.33,58.33
9,11.11,22.22,66.67,66.67,33.33,5.56,0.0,94.44,83.33,50.0,27.78,100.0,88.89,83.33,66.67,38.89,66.67,33.33,72.22,44.44,94.44,27.78,0.0,72.22,88.89,33.33,11.11,5.56,100.0,77.78,27.78,5.56,100.0,100.0,88.89,38.89,22.22,88.89,55.56,55.56,55.56,77.78,38.89,22.22,38.89,80.56,58.33,27.78,13.89,80.56,58.33,27.78,13.89,100.0,88.89,83.33,66.67,38.89,80.56,52.77,52.77,69.44,69.44
