,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Manchester City,74.07407,11.11111,14.81481,88.88889,74.07407,59.25926,18.51852,70.37037,25.92593,7.40741,3.7037,100.0,81.48148,70.37037,51.85185,22.22222,88.88889
Arsenal,57.69231,15.38462,26.92308,80.76923,42.30769,26.92308,19.23077,53.84615,23.07692,7.69231,0.0,96.15385,61.53846,50.0,30.76923,19.23077,80.76923
Liverpool,51.72414,27.58621,20.68966,96.55172,62.06897,27.58621,10.34483,75.86207,34.48276,13.7931,3.44828,100.0,89.65517,62.06897,44.82759,17.24138,96.55172
Aston Villa,39.28571,25.0,35.71429,71.42857,46.42857,21.42857,14.28571,71.42857,39.28571,25.0,14.28571,89.28571,78.57143,57.14286,42.85714,35.71429,71.42857
Tottenham Hotspur,35.0,35.0,30.0,85.0,70.0,25.0,15.0,75.0,65.0,30.0,20.0,100.0,95.0,75.0,55.0,25.0,85.0
Chelsea,38.09524,23.80952,38.09524,80.95238,52.38095,28.57143,9.52381,90.47619,57.14286,19.04762,14.28571,95.2381,90.47619,76.19048,61.90476,33.33333,80.95238
Newcastle United,32.14286,21.42857,46.42857,71.42857,53.57143,32.14286,14.28571,78.57143,60.71429,32.14286,17.85714,96.42857,85.71429,64.28571,53.57143,39.28571,71.42857
Manchester United,44.0,16.0,40.0,80.0,52.0,28.0,8.0,72.0,52.0,32.0,16.0,96.0,80.0,60.0,40.0,24.0,80.0
West Ham United,37.03704,7.40741,55.55556,74.07407,44.44444,11.11111,0.0,88.88889,51.85185,37.03704,22.22222,100.0,85.18519,70.37037,44.44444,25.92593,74.07407
Crystal Palace,27.27273,27.27273,45.45455,77.27273,18.18182,9.09091,4.54545,81.81818,45.45455,27.27273,13.63636,100.0,77.27273,50.0,36.36364,13.63636,77.27273
Brighton and Hove Albion,29.62963,25.92593,44.44444,66.66667,33.33333,22.22222,14.81481,81.48148,51.85185,22.22222,11.11111,92.59259,81.48148,59.25926,40.74074,25.92593,66.66667
Bournemouth,38.09524,14.28571,47.61905,90.47619,42.85714,23.80952,0.0,80.95238,71.42857,38.09524,4.7619,100.0,95.2381,80.95238,57.14286,19.04762,90.47619
