,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Manchester City,74.07407,25.92593,0.0,96.2963,81.48148,59.25926,29.62963,66.66667,18.51852,11.11111,7.40741,96.2963,88.88889,66.66667,59.25926,37.03704,96.2963
Arsenal,76.0,12.0,12.0,88.0,84.0,44.0,28.0,60.0,28.0,0.0,0.0,100.0,96.0,72.0,52.0,24.0,88.0
Liverpool,82.75862,10.34483,6.89655,89.65517,82.75862,65.51724,34.48276,68.96552,17.24138,6.89655,0.0,96.55172,93.10345,75.86207,51.72414,31.03448,89.65517
Aston Villa,64.28571,14.28571,21.42857,96.42857,67.85714,46.42857,17.85714,75.0,39.28571,21.42857,7.14286,100.0,89.28571,82.14286,60.71429,25.0,96.42857
Tottenham Hotspur,66.66667,0.0,33.33333,90.47619,66.66667,23.80952,4.7619,85.71429,33.33333,9.52381,4.7619,100.0,90.47619,76.19048,33.33333,19.04762,90.47619
Chelsea,62.06897,20.68966,17.24138,82.75862,72.41379,41.37931,27.58621,65.51724,37.93103,13.7931,6.89655,96.55172,79.31034,62.06897,48.27586,37.93103,82.75862
Newcastle United,60.86957,17.3913,21.73913,95.65217,56.52174,43.47826,34.78261,60.86957,30.43478,17.3913,4.34783,100.0,78.26087,65.21739,47.82609,30.43478,95.65217
Manchester United,52.0,12.0,36.0,76.0,52.0,28.0,8.0,76.0,52.0,24.0,0.0,100.0,76.0,68.0,36.0,24.0,76.0
West Ham United,46.15385,38.46154,15.38462,84.61538,53.84615,30.76923,7.69231,73.07692,30.76923,7.69231,3.84615,96.15385,88.46154,50.0,46.15385,15.38462,84.61538
Crystal Palace,40.0,25.0,35.0,75.0,50.0,35.0,15.0,65.0,45.0,15.0,5.0,85.0,80.0,60.0,45.0,30.0,75.0
Brighton and Hove Albion,47.82609,26.08696,26.08696,82.6087,39.13043,21.73913,13.04348,73.91304,34.78261,17.3913,4.34783,95.65217,78.26087,52.17391,39.13043,17.3913,82.6087
Bournemouth,39.13043,26.08696,34.78261,73.91304,47.82609,17.3913,8.69565,69.56522,43.47826,13.04348,8.69565,95.65217,82.6087,60.86957,30.43478,8.69565,73.91304
Fulham,45.83333,16.66667,37.5,66.66667,41.66667,33.33333,12.5,70.83333,37.5,16.66667,8.33333,95.83333,79.16667,58.33333,33.33333,16.66667,66.66667
Wolverhampton Wanderers,47.82609,13.04348,39.13043,86.95652,47.82609,17.3913,4.34783,78.26087,43.47826,21.73913,8.69565,100.0,82.6087,65.21739,34.78261,21.73913,86.95652
Everton,43.47826,21.73913,34.78261,78.26087,34.78261,17.3913,4.34783,52.17391,30.43478,17.3913,4.34783,95.65217,65.21739,43.47826,17.3913,4.34783,78.26087
Brentford,23.80952,38.09524,38.09524,80.95238,42.85714,19.04762,0.0,80.95238,52.38095,23.80952,14.28571,90.47619,80.95238,61.90476,52.38095,23.80952,80.95238
Nottingham Forest,21.73913,30.43478,47.82609,73.91304,56.52174,8.69565,4.34783,91.30435,47.82609,21.73913,4.34783,100.0,82.6087,52.17391,39.13043,21.73913,73.91304
Luton Town,22.72727,22.72727,54.54545,90.90909,40.90909,13.63636,4.54545,86.36364,54.54545,31.81818,18.18182,95.45455,86.36364,68.18182,40.90909,31.81818,90.90909
Burnley,10.52632,21.05263,68.42105,63.15789,21.05263,5.26316,5.26316,94.73684,68.42105,31.57895,21.05263,100.0,94.73684,57.89474,36.84211,26.31579,63.15789
Sheffield United,9.52381,23.80952,66.66667,66.66667,38.09524,4.7619,0.0,95.2381,85.71429,57.14286,28.57143,100.0,90.47619,85.71429,66.66667,42.85714,66.66667
es Sevilla,,,,,,,,,,,,,,,,,
Newcastle Utd,,,,,,,,,,,,,,,,,
Sheffield Utd,,,,,,,,,,,,,,,,,
West Ham,,,,,,,,,,,,,,,,,
rs Red Star,,,,,,,,,,,,,,,,,
Nott'ham Forest,,,,,,,,,,,,,,,,,
Wolves,,,,,,,,,,,,,,,,,
de RB Leipzig,,,,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,,,,,
ch Young Boys,,,,,,,,,,,,,,,,,
Manchester Utd,,,,,,,,,,,,,,,,,
Tottenham,,,,,,,,,,,,,,,,,
Huddersfield,,,,,,,,,,,,,,,,,
dk FC Copenhagen,,,,,,,,,,,,,,,,,
es Real Madrid,,,,,,,,,,,,,,,,,
nl PSV Eindhoven,,,,,,,,,,,,,,,,,
fr Lens,,,,,,,,,,,,,,,,,
pt Porto,,,,,,,,,,,,,,,,,
de Bayern Munich,,,,,,,,,,,,,,,,,
at LASK,,,,,,,,,,,,,,,,,
Leicester City,,,,,,,,,,,,,,,,,
be Union SG,,,,,,,,,,,,,,,,,
fr Toulouse,,,,,,,,,,,,,,,,,
Norwich City,,,,,,,,,,,,,,,,,
Southampton,,,,,,,,,,,,,,,,,
cz Sparta Prague,,,,,,,,,,,,,,,,,
it Atalanta,,,,,,,,,,,,,,,,,
sct Hibernian,,,,,,,,,,,,,,,,,
pl Legia Warsaw,,,,,,,,,,,,,,,,,
ba Zrinjski Mostar,,,,,,,,,,,,,,,,,
nl AZ Alkmaar,,,,,,,,,,,,,,,,,
Middlesbrough,,,,,,,,,,,,,,,,,
nl Ajax,,,,,,,,,,,,,,,,,
fr Lille,,,,,,,,,,,,,,,,,
gr Olympiacos,,,,,,,,,,,,,,,,,
AFC Wimbledon,,,,,,,,,,,,,,,,,
Blackburn,,,,,,,,,,,,,,,,,
Preston,,,,,,,,,,,,,,,,,
Leeds United,,,,,,,,,,,,,,,,,
it Milan,,,,,,,,,,,,,,,,,
fr Paris S-G,,,,,,,,,,,,,,,,,
de Dortmund,,,,,,,,,,,,,,,,,
Sunderland,,,,,,,,,,,,,,,,,
tr Galatasaray,,,,,,,,,,,,,,,,,
Wigan Athletic,,,,,,,,,,,,,,,,,
Newport County,,,,,,,,,,,,,,,,,
Coventry City,,,,,,,,,,,,,,,,,
rs TSC Bačka Top,,,,,,,,,,,,,,,,,
Lincoln City,,,,,,,,,,,,,,,,,
de Freiburg,,,,,,,,,,,,,,,,,
Bristol City,,,,,,,,,,,,,,,,,
de Leverkusen,,,,,,,,,,,,,,,,,
Plymouth Argyle,,,,,,,,,,,,,,,,,
gr AEK Athens,,,,,,,,,,,,,,,,,
fr Marseille,,,,,,,,,,,,,,,,,
