,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Manchester City,73.21429,19.64286,7.14286,92.85714,76.78571,57.14286,23.21429,67.85714,23.21429,10.71429,7.14286,98.21429,83.92857,67.85714,55.35714,30.35714,92.85714
Arsenal,65.38462,15.38462,19.23077,84.61538,63.46154,36.53846,25.0,57.69231,26.92308,3.84615,0.0,98.07692,78.84615,61.53846,42.30769,23.07692,84.61538
Liverpool,67.24138,18.96552,13.7931,93.10345,72.41379,46.55172,22.41379,72.41379,25.86207,10.34483,1.72414,98.27586,91.37931,68.96552,48.27586,24.13793,93.10345
Aston Villa,51.78571,19.64286,28.57143,83.92857,57.14286,33.92857,16.07143,73.21429,39.28571,23.21429,10.71429,94.64286,83.92857,69.64286,51.78571,30.35714,83.92857
Tottenham Hotspur,51.21951,17.07317,31.70732,87.80488,68.29268,24.39024,9.7561,80.4878,48.78049,19.5122,12.19512,100.0,92.68293,75.60976,43.90244,21.95122,87.80488
Chelsea,50.98039,21.56863,27.45098,80.39216,62.7451,35.29412,19.60784,76.47059,45.09804,15.68627,9.80392,96.07843,82.35294,66.66667,52.94118,35.29412,80.39216
Newcastle United,45.09804,19.60784,35.29412,82.35294,54.90196,37.2549,23.52941,70.58824,47.05882,25.4902,11.76471,98.03922,82.35294,64.70588,50.98039,35.29412,82.35294
Manchester United,47.05882,15.68627,37.2549,78.43137,52.94118,29.41176,9.80392,74.5098,52.94118,29.41176,9.80392,98.03922,78.43137,64.70588,39.21569,25.4902,78.43137
West Ham United,41.50943,22.64151,35.84906,79.24528,49.0566,20.75472,3.77358,81.13208,41.50943,22.64151,13.20755,98.11321,86.79245,60.37736,45.28302,20.75472,79.24528
Crystal Palace,33.33333,26.19048,40.47619,76.19048,33.33333,21.42857,9.52381,73.80952,45.2381,21.42857,9.52381,92.85714,78.57143,54.7619,40.47619,21.42857,76.19048
Brighton and Hove Albion,38.0,26.0,36.0,74.0,36.0,22.0,14.0,78.0,44.0,20.0,8.0,94.0,80.0,56.0,40.0,22.0,74.0
Bournemouth,38.63636,20.45455,40.90909,81.81818,45.45455,20.45455,4.54545,75.0,56.81818,25.0,6.81818,97.72727,88.63636,70.45455,43.18182,13.63636,81.81818
Fulham,34.78261,23.91304,41.30435,69.56522,41.30435,28.26087,10.86957,76.08696,50.0,26.08696,10.86957,93.47826,80.43478,63.04348,39.13043,19.56522,69.56522
Wolverhampton Wanderers,37.77778,17.77778,44.44444,80.0,44.44444,13.33333,6.66667,82.22222,48.88889,24.44444,6.66667,97.77778,84.44444,62.22222,33.33333,24.44444,80.0
Everton,37.77778,24.44444,37.77778,71.11111,31.11111,13.33333,2.22222,64.44444,40.0,15.55556,6.66667,93.33333,73.33333,46.66667,20.0,6.66667,71.11111
Brentford,23.80952,26.19048,50.0,78.57143,45.2381,19.04762,4.7619,83.33333,50.0,26.19048,9.52381,95.2381,80.95238,64.28571,42.85714,26.19048,78.57143
Nottingham Forest,22.72727,27.27273,50.0,70.45455,47.72727,11.36364,2.27273,88.63636,50.0,27.27273,6.81818,95.45455,81.81818,54.54545,40.90909,25.0,70.45455
Luton Town,20.45455,20.45455,59.09091,84.09091,36.36364,13.63636,4.54545,93.18182,59.09091,36.36364,20.45455,97.72727,86.36364,70.45455,43.18182,29.54545,84.09091
Burnley,16.66667,21.42857,61.90476,66.66667,26.19048,7.14286,7.14286,90.47619,59.52381,30.95238,9.52381,100.0,88.09524,59.52381,35.71429,16.66667,66.66667
Sheffield United,9.7561,19.5122,70.73171,63.41463,31.70732,7.31707,2.43902,95.12195,78.04878,46.34146,24.39024,100.0,90.2439,73.17073,58.53659,34.14634,63.41463
es Sevilla,,,,,,,,,,,,,,,,,
Newcastle Utd,,,,,,,,,,,,,,,,,
Sheffield Utd,,,,,,,,,,,,,,,,,
West Ham,,,,,,,,,,,,,,,,,
rs Red Star,,,,,,,,,,,,,,,,,
Nott'ham Forest,,,,,,,,,,,,,,,,,
Wolves,,,,,,,,,,,,,,,,,
de RB Leipzig,,,,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,,,,,
ch Young Boys,,,,,,,,,,,,,,,,,
Manchester Utd,,,,,,,,,,,,,,,,,
Tottenham,,,,,,,,,,,,,,,,,
Huddersfield,,,,,,,,,,,,,,,,,
