date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2023-08-12,DFB-Pokal,Round of 64,Away,W,8.0,0.0,FC Teutonia Ottensen,,,66.0,22.0,11.0,,1,1,Bayer Leverkusen
2023-08-19,Bundesliga,Matchweek 1,Home,W,3.0,2.0,RB Leipzig,1.4,1.6,44.0,11.0,7.0,0.0,0,0,Bayer Leverkusen
2023-08-26,Bundesliga,Matchweek 2,Away,W,3.0,0.0,Gladbach,2.7,0.9,60.0,24.0,11.0,0.0,0,0,Bayer Leverkusen
2023-09-02,Bundesliga,Matchweek 3,Home,W,5.0,1.0,Darmstadt 98,2.8,0.4,72.0,25.0,13.0,1.0,0,0,Bayer Leverkusen
2023-09-15,Bundesliga,Matchweek 4,Away,D,2.0,2.0,Bayern Munich,2.1,2.1,49.0,12.0,4.0,1.0,1,1,Bayer Leverkusen
2023-09-21,Europa Lg,Group stage,Home,W,4.0,0.0,se Häcken,3.0,0.4,63.0,22.0,10.0,0.0,0,0,Bayer Leverkusen
2023-09-24,Bundesliga,Matchweek 5,Home,W,4.0,1.0,Heidenheim,3.4,0.5,71.0,20.0,9.0,0.0,1,1,Bayer Leverkusen
2023-09-30,Bundesliga,Matchweek 6,Away,W,3.0,0.0,Mainz 05,1.1,0.5,55.0,6.0,3.0,2.0,0,0,Bayer Leverkusen
2023-10-05,Europa Lg,Group stage,Away,W,2.0,1.0,no Molde,1.7,1.3,62.0,12.0,3.0,1.0,0,0,Bayer Leverkusen
2023-10-08,Bundesliga,Matchweek 7,Home,W,3.0,0.0,Köln,3.2,1.3,64.0,23.0,10.0,0.0,0,0,Bayer Leverkusen
2023-10-21,Bundesliga,Matchweek 8,Away,W,2.0,1.0,Wolfsburg,1.9,1.4,58.0,13.0,7.0,0.0,0,0,Bayer Leverkusen
2023-10-26,Europa Lg,Group stage,Home,W,5.0,1.0,az Qarabağ,2.5,0.9,61.0,21.0,10.0,2.0,0,0,Bayer Leverkusen
2023-10-29,Bundesliga,Matchweek 9,Home,W,2.0,1.0,Freiburg,1.4,0.9,70.0,18.0,4.0,1.0,0,0,Bayer Leverkusen
2023-11-01,DFB-Pokal,Round of 32,Away,W,5.0,2.0,Sandhausen,,,73.0,30.0,11.0,,1,1,Bayer Leverkusen
2023-11-04,Bundesliga,Matchweek 10,Away,W,3.0,2.0,Hoffenheim,1.0,1.7,53.0,9.0,5.0,0.0,0,0,Bayer Leverkusen
2023-11-09,Europa Lg,Group stage,Away,W,1.0,0.0,az Qarabağ,1.7,0.9,62.0,10.0,2.0,0.0,1,1,Bayer Leverkusen
2023-11-12,Bundesliga,Matchweek 11,Home,W,4.0,0.0,Union Berlin,2.4,0.0,69.0,18.0,10.0,1.0,0,0,Bayer Leverkusen
2023-11-25,Bundesliga,Matchweek 12,Away,W,3.0,0.0,Werder Bremen,1.0,0.2,59.0,14.0,4.0,0.0,0,0,Bayer Leverkusen
