date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2023-08-19,Serie A,Matchweek 1,Home,W,2,0,Monza,2.7,0.8,47.0,22.0,3.0,1.0,0,0,Internazionale
2023-08-28,Serie A,Matchweek 2,Away,W,2,0,Cagliari,0.9,0.6,67.0,17.0,3.0,0.0,0,0,Internazionale
2023-09-03,Serie A,Matchweek 3,Home,W,4,0,Fiorentina,3.7,0.4,40.0,20.0,10.0,1.0,1,1,Internazionale
2023-09-16,Serie A,Matchweek 4,Home,W,5,1,Milan,2.6,1.1,41.0,13.0,6.0,1.0,1,1,Internazionale
2023-09-20,Champions Lg,Group stage,Away,D,1,1,es Real Sociedad,0.5,1.3,56.0,6.0,1.0,0.0,0,0,Internazionale
2023-09-24,Serie A,Matchweek 5,Away,W,1,0,Empoli,1.6,0.3,61.0,23.0,5.0,0.0,0,0,Internazionale
2023-09-27,Serie A,Matchweek 6,Home,L,1,2,Sassuolo,0.9,1.0,63.0,13.0,3.0,0.0,0,0,Internazionale
2023-09-30,Serie A,Matchweek 7,Away,W,4,0,Salernitana,2.3,0.6,64.0,15.0,5.0,1.0,1,1,Internazionale
2023-10-03,Champions Lg,Group stage,Home,W,1,0,pt Benfica,3.8,0.3,47.0,21.0,7.0,1.0,0,0,Internazionale
2023-10-07,Serie A,Matchweek 8,Home,D,2,2,Bologna,0.7,1.3,63.0,14.0,5.0,1.0,0,0,Internazionale
2023-10-21,Serie A,Matchweek 9,Away,W,3,0,Torino,2.5,0.4,53.0,13.0,3.0,1.0,1,1,Internazionale
2023-10-24,Champions Lg,Group stage,Home,W,2,1,at RB Salzburg,2.3,0.5,55.0,16.0,2.0,0.0,1,1,Internazionale
2023-10-29,Serie A,Matchweek 10,Home,W,1,0,Roma,2.2,0.1,63.0,19.0,3.0,0.0,0,0,Internazionale
2023-11-04,Serie A,Matchweek 11,Away,W,2,1,Atalanta,1.3,1.0,46.0,9.0,3.0,1.0,1,1,Internazionale
2023-11-08,Champions Lg,Group stage,Away,W,1,0,at RB Salzburg,2.0,0.8,50.0,16.0,5.0,1.0,1,1,Internazionale
2023-11-12,Serie A,Matchweek 12,Home,W,2,0,Frosinone,3.1,0.7,47.0,20.0,5.0,1.0,1,1,Internazionale
2023-11-26,Serie A,Matchweek 13,Away,D,1,1,Juventus,0.9,0.4,65.0,8.0,4.0,0.0,0,0,Internazionale
2023-11-29,Champions Lg,Group stage,Away,D,3,3,pt Benfica,3.0,1.6,59.0,13.0,7.0,1.0,1,1,Internazionale
2023-12-03,Serie A,Matchweek 14,Away,W,3,0,Napoli,2.7,0.6,43.0,11.0,4.0,0.0,0,0,Internazionale
