HomeTeam,AwayTeam,Home_win_percentage,Away_win_percentage,Home_Total_win_percentage,Away_Total_win_percentage,Home_draw_percentage,Away_draw_percentage,Home_Total_draw_percentage,Away_Total_draw_percentage,Home_lose_percentage,Away_lose_percentage,Home_Total_lose_percentage,Away_Total_lose_percentage,Home_percentage_score_over_0_5,Away_percentage_score_over_0_5,Home_Total_percentage_score_over_0_5,Away_Total_percentage_score_over_0_5,Home_percentage_score_over_1_5,Away_percentage_score_over_1_5,Home_Total_percentage_score_over_1_5,Away_Total_percentage_score_over_1_5,Home_percentage_score_over_2_5,Away_percentage_score_over_2_5,Home_Total_percentage_score_over_2_5,Away_Total_percentage_score_over_2_5,Home_percentage_score_over_3_5,Away_percentage_score_over_3_5,Home_Total_percentage_score_over_3_5,Away_Total_percentage_score_over_3_5,Home_percentage_concede_over_0.5,Away_percentage_concede_over_0.5,Home_Total_percentage_concede_over_0.5,Away_Total_percentage_concede_over_0.5,Home_percentage_concede_over_1.5,Away_percentage_concede_over_1.5,Home_Total_percentage_concede_over_1.5,Away_Total_percentage_concede_over_1.5,Home_percentage_concede_over_2.5,Away_percentage_concede_over_2.5,Home_Total_percentage_concede_over_2.5,Away_Total_percentage_concede_over_2.5,Home_percentage_concede_over_3.5,Away_percentage_concede_over_3.5,Home_Total_percentage_concede_over_3.5,Away_Total_percentage_concede_over_3.5,Home_percentage_total_goals_over_0.5,Away_percentage_total_goals_over_0.5,Home_Total_percentage_total_goals_over_0.5,Away_Total_percentage_total_goals_over_0.5,Home_percentage_total_goals_over_1.5,Away_percentage_total_goals_over_1.5,Home_Total_percentage_total_goals_over_1.5,Away_Total_percentage_total_goals_over_1.5,Home_percentage_total_goals_over_2.5,Away_percentage_total_goals_over_2.5,Home_Total_percentage_total_goals_over_2.5,Away_Total_percentage_total_goals_over_2.5,Home_percentage_total_goals_over_3.5,Away_percentage_total_goals_over_3.5,Home_Total_percentage_total_goals_over_3.5,Away_Total_percentage_total_goals_over_3.5,Home_percentage_total_goals_over_4.5,Away_percentage_total_goals_over_4.5,Home_Total_percentage_total_goals_over_4.5,Away_Total_percentage_total_goals_over_4.5,Home_percentage_team_score,Away_percentage_team_score,Home_Total_percentage_team_score,Away_Total_percentage_team_score,PredictedResult,PredictedHomeGoals,PredictedAwayGoals,PredictedBothTeamsToScore
Arsenal,Everton,76.0,31.81818,65.38462,37.77778,12.0,27.27273,15.38462,24.44444,12.0,40.90909,19.23077,37.77778,88.0,63.63636,84.61538,71.11111,84.0,27.27273,63.46154,31.11111,44.0,9.09091,36.53846,13.33333,28.0,0.0,25.0,2.22222,60.0,77.27273,57.69231,64.44444,28.0,50.0,26.92308,40.0,0.0,13.63636,3.84615,15.55556,0.0,9.09091,0.0,6.66667,100.0,90.90909,98.07692,93.33333,96.0,81.81818,78.84615,73.33333,72.0,50.0,61.53846,46.66667,52.0,22.72727,42.30769,20.0,24.0,9.09091,23.07692,6.66667,88.0,63.63636,84.61538,71.11111,W,106921429672311.48,-226624680490879.56,0.0
Brentford,Newcastle United,23.80952,32.14286,23.80952,45.09804,38.09524,21.42857,26.19048,19.60784,38.09524,46.42857,50.0,35.29412,80.95238,71.42857,78.57143,82.35294,42.85714,53.57143,45.2381,54.90196,19.04762,32.14286,19.04762,37.2549,0.0,14.28571,4.7619,23.52941,80.95238,78.57143,83.33333,70.58824,52.38095,60.71429,50.0,47.05882,23.80952,32.14286,26.19048,25.4902,14.28571,17.85714,9.52381,11.76471,90.47619,96.42857,95.2381,98.03922,80.95238,85.71429,80.95238,82.35294,61.90476,64.28571,64.28571,64.70588,52.38095,53.57143,42.85714,50.98039,23.80952,39.28571,26.19048,35.29412,80.95238,71.42857,78.57143,82.35294,W,25065479385462.977,-257448038654883.8,0.0
Brighton and Hove Albion,Manchester United,47.82609,44.0,38.0,47.05882,26.08696,16.0,26.0,15.68627,26.08696,40.0,36.0,37.2549,82.6087,80.0,74.0,78.43137,39.13043,52.0,36.0,52.94118,21.73913,28.0,22.0,29.41176,13.04348,8.0,14.0,9.80392,73.91304,72.0,78.0,74.5098,34.78261,52.0,44.0,52.94118,17.3913,32.0,20.0,29.41176,4.34783,16.0,8.0,9.80392,95.65217,96.0,94.0,98.03922,78.26087,80.0,80.0,78.43137,52.17391,60.0,56.0,64.70588,39.13043,40.0,40.0,39.21569,17.3913,24.0,22.0,25.4902,82.6087,80.0,74.0,78.43137,W,43606180045859.29,-262822658829849.8,0.0
Burnley,Nottingham Forest,10.52632,23.80952,16.66667,22.72727,21.05263,23.80952,21.42857,27.27273,68.42105,52.38095,61.90476,50.0,63.15789,66.66667,66.66667,70.45455,21.05263,38.09524,26.19048,47.72727,5.26316,14.28571,7.14286,11.36364,5.26316,0.0,7.14286,2.27273,94.73684,85.71429,90.47619,88.63636,68.42105,52.38095,59.52381,50.0,31.57895,33.33333,30.95238,27.27273,21.05263,9.52381,9.52381,6.81818,100.0,90.47619,100.0,95.45455,94.73684,80.95238,88.09524,81.81818,57.89474,57.14286,59.52381,54.54545,36.84211,42.85714,35.71429,40.90909,26.31579,28.57143,16.66667,25.0,63.15789,66.66667,66.66667,70.45455,W,139269774315467.2,-281355831955121.2,0.0
Chelsea,Bournemouth,62.06897,38.09524,50.98039,38.63636,20.68966,14.28571,21.56863,20.45455,17.24138,47.61905,27.45098,40.90909,82.75862,90.47619,80.39216,81.81818,72.41379,42.85714,62.7451,45.45455,41.37931,23.80952,35.29412,20.45455,27.58621,0.0,19.60784,4.54545,65.51724,80.95238,76.47059,75.0,37.93103,71.42857,45.09804,56.81818,13.7931,38.09524,15.68627,25.0,6.89655,4.7619,9.80392,6.81818,96.55172,100.0,96.07843,97.72727,79.31034,95.2381,82.35294,88.63636,62.06897,80.95238,66.66667,70.45455,48.27586,57.14286,52.94118,43.18182,37.93103,19.04762,35.29412,13.63636,82.75862,90.47619,80.39216,81.81818,W,81027930161231.86,-279337707674762.94,0.0
Crystal Palace,Aston Villa,40.0,39.28571,33.33333,51.78571,25.0,25.0,26.19048,19.64286,35.0,35.71429,40.47619,28.57143,75.0,71.42857,76.19048,83.92857,50.0,46.42857,33.33333,57.14286,35.0,21.42857,21.42857,33.92857,15.0,14.28571,9.52381,16.07143,65.0,71.42857,73.80952,73.21429,45.0,39.28571,45.2381,39.28571,15.0,25.0,21.42857,23.21429,5.0,14.28571,9.52381,10.71429,85.0,89.28571,92.85714,94.64286,80.0,78.57143,78.57143,83.92857,60.0,57.14286,54.7619,69.64286,45.0,42.85714,40.47619,51.78571,30.0,35.71429,21.42857,30.35714,75.0,71.42857,76.19048,83.92857,W,108917405534349.23,-266629022438541.56,0.0
Liverpool,Wolverhampton Wanderers,82.75862,27.27273,67.24138,37.77778,10.34483,22.72727,18.96552,17.77778,6.89655,50.0,13.7931,44.44444,89.65517,72.72727,93.10345,80.0,82.75862,40.90909,72.41379,44.44444,65.51724,9.09091,46.55172,13.33333,34.48276,9.09091,22.41379,6.66667,68.96552,86.36364,72.41379,82.22222,17.24138,54.54545,25.86207,48.88889,6.89655,27.27273,10.34483,24.44444,0.0,4.54545,1.72414,6.66667,96.55172,95.45455,98.27586,97.77778,93.10345,86.36364,91.37931,84.44444,75.86207,59.09091,68.96552,62.22222,51.72414,31.81818,48.27586,33.33333,31.03448,27.27273,24.13793,24.44444,89.65517,72.72727,93.10345,80.0,W,119954841121315.05,-257904207622058.06,0.0
Luton Town,Fulham,22.72727,22.72727,20.45455,34.78261,22.72727,31.81818,20.45455,23.91304,54.54545,45.45455,59.09091,41.30435,90.90909,72.72727,84.09091,69.56522,40.90909,40.90909,36.36364,41.30435,13.63636,22.72727,13.63636,28.26087,4.54545,9.09091,4.54545,10.86957,86.36364,81.81818,93.18182,76.08696,54.54545,63.63636,59.09091,50.0,31.81818,36.36364,36.36364,26.08696,18.18182,13.63636,20.45455,10.86957,95.45455,90.90909,97.72727,93.47826,86.36364,81.81818,86.36364,80.43478,68.18182,68.18182,70.45455,63.04348,40.90909,45.45455,43.18182,39.13043,31.81818,22.72727,29.54545,19.56522,90.90909,72.72727,84.09091,69.56522,W,134199177928272.45,-258750799309928.44,0.0
Manchester City,West Ham United,74.07407,37.03704,73.21429,41.50943,25.92593,7.40741,19.64286,22.64151,0.0,55.55556,7.14286,35.84906,96.2963,74.07407,92.85714,79.24528,81.48148,44.44444,76.78571,49.0566,59.25926,11.11111,57.14286,20.75472,29.62963,0.0,23.21429,3.77358,66.66667,88.88889,67.85714,81.13208,18.51852,51.85185,23.21429,41.50943,11.11111,37.03704,10.71429,22.64151,7.40741,22.22222,7.14286,13.20755,96.2963,100.0,98.21429,98.11321,88.88889,85.18519,83.92857,86.79245,66.66667,70.37037,67.85714,60.37736,59.25926,44.44444,55.35714,45.28302,37.03704,25.92593,30.35714,20.75472,96.2963,74.07407,92.85714,79.24528,W,-3998284669327.459,-218793156980755.7,1.0
Sheffield United,Tottenham Hotspur,9.52381,35.0,9.7561,51.21951,23.80952,35.0,19.5122,17.07317,66.66667,30.0,70.73171,31.70732,66.66667,85.0,63.41463,87.80488,38.09524,70.0,31.70732,68.29268,4.7619,25.0,7.31707,24.39024,0.0,15.0,2.43902,9.7561,95.2381,75.0,95.12195,80.4878,85.71429,65.0,78.04878,48.78049,57.14286,30.0,46.34146,19.5122,28.57143,20.0,24.39024,12.19512,100.0,100.0,100.0,100.0,90.47619,95.0,90.2439,92.68293,85.71429,75.0,73.17073,75.60976,66.66667,55.0,58.53659,43.90244,42.85714,25.0,34.14634,21.95122,66.66667,85.0,63.41463,87.80488,W,-89622003148522.3,-226333830412821.56,1.0
Arsenal,Everton,76.0,31.81818,65.38462,37.77778,12.0,27.27273,15.38462,24.44444,12.0,40.90909,19.23077,37.77778,88.0,63.63636,84.61538,71.11111,84.0,27.27273,63.46154,31.11111,44.0,9.09091,36.53846,13.33333,28.0,0.0,25.0,2.22222,60.0,77.27273,57.69231,64.44444,28.0,50.0,26.92308,40.0,0.0,13.63636,3.84615,15.55556,0.0,9.09091,0.0,6.66667,100.0,90.90909,98.07692,93.33333,96.0,81.81818,78.84615,73.33333,72.0,50.0,61.53846,46.66667,52.0,22.72727,42.30769,20.0,24.0,9.09091,23.07692,6.66667,88.0,63.63636,84.61538,71.11111,W,106921429672311.48,-226624680490879.56,0.0
