,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Internazionale,73.91304,17.3913,8.69565,95.65217,60.86957,39.13043,21.73913,47.82609,13.04348,8.69565,4.34783,100.0,73.91304,52.17391,30.43478,21.73913,95.65217
Milan,48.0,24.0,28.0,88.0,68.0,28.0,0.0,76.0,52.0,28.0,8.0,92.0,84.0,80.0,56.0,28.0,88.0
Bologna,35.0,50.0,15.0,75.0,45.0,10.0,5.0,70.0,30.0,10.0,5.0,80.0,75.0,55.0,20.0,5.0,75.0
Juventus,40.0,35.0,25.0,80.0,50.0,15.0,0.0,65.0,30.0,10.0,5.0,90.0,70.0,55.0,20.0,10.0,80.0
Atalanta,44.44444,25.92593,29.62963,85.18519,55.55556,18.51852,7.40741,74.07407,29.62963,14.81481,3.7037,100.0,88.88889,62.96296,25.92593,11.11111,85.18519
Roma,30.76923,30.76923,38.46154,69.23077,38.46154,11.53846,7.69231,84.61538,34.61538,7.69231,3.84615,92.30769,73.07692,53.84615,26.92308,11.53846,69.23077
Lazio,36.0,12.0,52.0,72.0,36.0,8.0,0.0,84.0,52.0,20.0,0.0,100.0,88.0,56.0,24.0,4.0,72.0
Fiorentina,26.92308,30.76923,42.30769,61.53846,26.92308,11.53846,7.69231,76.92308,30.76923,19.23077,7.69231,92.30769,65.38462,34.61538,26.92308,15.38462,61.53846
Torino,27.77778,27.77778,44.44444,61.11111,33.33333,5.55556,0.0,72.22222,38.88889,16.66667,5.55556,88.88889,77.77778,33.33333,16.66667,16.66667,61.11111
Napoli,39.13043,30.43478,30.43478,69.56522,47.82609,21.73913,13.04348,78.26087,30.43478,13.04348,4.34783,91.30435,73.91304,52.17391,39.13043,13.04348,69.56522
Genoa,20.0,35.0,45.0,60.0,25.0,5.0,0.0,85.0,30.0,5.0,0.0,90.0,60.0,40.0,10.0,5.0,60.0
Monza,27.77778,33.33333,38.88889,50.0,22.22222,16.66667,0.0,72.22222,38.88889,16.66667,0.0,83.33333,66.66667,38.88889,16.66667,11.11111,50.0
Hellas Verona,15.0,25.0,60.0,55.0,15.0,5.0,0.0,80.0,45.0,10.0,0.0,90.0,55.0,40.0,15.0,5.0,55.0
Lecce,11.11111,38.88889,50.0,61.11111,16.66667,5.55556,0.0,88.88889,44.44444,11.11111,5.55556,100.0,77.77778,38.88889,16.66667,0.0,61.11111
Cagliari,14.28571,23.80952,61.90476,61.90476,19.04762,0.0,0.0,85.71429,61.90476,28.57143,14.28571,95.2381,80.95238,57.14286,28.57143,9.52381,61.90476
Frosinone,13.63636,31.81818,54.54545,63.63636,22.72727,9.09091,4.54545,77.27273,54.54545,31.81818,18.18182,86.36364,77.27273,54.54545,40.90909,18.18182,63.63636
Udinese,22.22222,44.44444,33.33333,66.66667,16.66667,0.0,0.0,72.22222,33.33333,16.66667,11.11111,88.88889,72.22222,27.77778,22.22222,5.55556,66.66667
Empoli,21.05263,21.05263,57.89474,47.36842,15.78947,10.52632,0.0,84.21053,47.36842,10.52632,5.26316,94.73684,73.68421,31.57895,15.78947,10.52632,47.36842
Sassuolo,15.0,15.0,70.0,65.0,35.0,10.0,10.0,100.0,70.0,35.0,15.0,100.0,80.0,70.0,40.0,25.0,65.0
Salernitana,5.26316,26.31579,68.42105,52.63158,15.78947,0.0,0.0,89.47368,68.42105,47.36842,26.31579,94.73684,78.94737,63.15789,36.84211,21.05263,52.63158
es Real Sociedad,,,,,,,,,,,,,,,,,
pt Benfica,,,,,,,,,,,,,,,,,
at RB Salzburg,,,,,,,,,,,,,,,,,
es Atlético Madrid,,,,,,,,,,,,,,,,,
Inter,,,,,,,,,,,,,,,,,
eng Newcastle Utd,,,,,,,,,,,,,,,,,
de Dortmund,,,,,,,,,,,,,,,,,
fr Paris S-G,,,,,,,,,,,,,,,,,
fr Rennes,,,,,,,,,,,,,,,,,
cz Slavia Prague,,,,,,,,,,,,,,,,,
it Roma,,,,,,,,,,,,,,,,,
Cesena,,,,,,,,,,,,,,,,,
pl RKS Raków,,,,,,,,,,,,,,,,,
pt Sporting CP,,,,,,,,,,,,,,,,,
at Sturm Graz,,,,,,,,,,,,,,,,,
eng Liverpool,,,,,,,,,,,,,,,,,
fr Marseille,,,,,,,,,,,,,,,,,
md Sheriff Tiraspol,,,,,,,,,,,,,,,,,
ch Servette FC,,,,,,,,,,,,,,,,,
Cremonese,,,,,,,,,,,,,,,,,
nl Feyenoord,,,,,,,,,,,,,,,,,
eng Brighton,,,,,,,,,,,,,,,,,
it Milan,,,,,,,,,,,,,,,,,
de Leverkusen,,,,,,,,,,,,,,,,,
sct Celtic,,,,,,,,,,,,,,,,,
de Bayern Munich,,,,,,,,,,,,,,,,,
at Rapid Wien,,,,,,,,,,,,,,,,,
be Genk,,,,,,,,,,,,,,,,,
hu Ferencváros,,,,,,,,,,,,,,,,,
rs Čukarički,,,,,,,,,,,,,,,,,
Parma,,,,,,,,,,,,,,,,,
il Maccabi Haifa,,,,,,,,,,,,,,,,,
cz Viktoria Plzeň,,,,,,,,,,,,,,,,,
be Club Brugge,,,,,,,,,,,,,,,,,
FeralpiSalò,,,,,,,,,,,,,,,,,
pt Braga,,,,,,,,,,,,,,,,,
es Real Madrid,,,,,,,,,,,,,,,,,
de Union Berlin,,,,,,,,,,,,,,,,,
es Barcelona,,,,,,,,,,,,,,,,,
Modena,,,,,,,,,,,,,,,,,
Reggiana,,,,,,,,,,,,,,,,,
Ascoli,,,,,,,,,,,,,,,,,
Como,,,,,,,,,,,,,,,,,
Palermo,,,,,,,,,,,,,,,,,
Pisa,,,,,,,,,,,,,,,,,
Catanzaro,,,,,,,,,,,,,,,,,
Cittadella,,,,,,,,,,,,,,,,,
Cosenza,,,,,,,,,,,,,,,,,
Spezia,,,,,,,,,,,,,,,,,
Ternana,,,,,,,,,,,,,,,,,
Sampdoria,,,,,,,,,,,,,,,,,
