,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Internazionale,72.0,20.0,8.0,96.0,64.0,24.0,20.0,40.0,16.0,0.0,0.0,96.0,80.0,52.0,28.0,4.0,96.0
Milan,61.53846,15.38462,23.07692,84.61538,50.0,38.46154,15.38462,61.53846,23.07692,7.69231,0.0,96.15385,65.38462,57.69231,34.61538,19.23077,84.61538
Bologna,66.66667,23.80952,9.52381,80.95238,61.90476,23.80952,9.52381,38.09524,14.28571,4.7619,0.0,90.47619,76.19048,33.33333,14.28571,9.52381,80.95238
Juventus,61.90476,33.33333,4.7619,85.71429,42.85714,23.80952,9.52381,47.61905,9.52381,0.0,0.0,90.47619,61.90476,33.33333,23.80952,9.52381,85.71429
Atalanta,72.0,12.0,16.0,92.0,68.0,36.0,12.0,52.0,20.0,0.0,0.0,96.0,84.0,60.0,28.0,16.0,92.0
Roma,66.66667,18.51852,14.81481,96.2963,62.96296,29.62963,18.51852,55.55556,25.92593,11.11111,3.7037,100.0,85.18519,59.25926,37.03704,14.81481,96.2963
Lazio,64.0,16.0,20.0,80.0,28.0,12.0,4.0,44.0,16.0,0.0,0.0,92.0,48.0,24.0,12.0,8.0,80.0
Fiorentina,55.17241,31.03448,13.7931,89.65517,68.96552,31.03448,17.24138,72.41379,37.93103,6.89655,3.44828,100.0,82.75862,65.51724,41.37931,24.13793,89.65517
Torino,42.85714,42.85714,14.28571,57.14286,28.57143,14.28571,0.0,38.09524,14.28571,4.7619,0.0,66.66667,52.38095,33.33333,4.7619,0.0,57.14286
Napoli,32.0,32.0,36.0,72.0,48.0,8.0,4.0,84.0,40.0,20.0,4.0,96.0,88.0,60.0,28.0,8.0,72.0
Genoa,45.0,30.0,25.0,85.0,45.0,15.0,10.0,75.0,25.0,20.0,10.0,95.0,75.0,50.0,30.0,25.0,85.0
Monza,30.0,30.0,40.0,80.0,25.0,10.0,5.0,65.0,40.0,15.0,15.0,90.0,65.0,45.0,25.0,20.0,80.0
Hellas Verona,36.84211,26.31579,36.84211,84.21053,36.84211,5.26316,0.0,78.94737,36.84211,15.78947,0.0,94.73684,73.68421,57.89474,31.57895,0.0,84.21053
Lecce,33.33333,28.57143,38.09524,61.90476,28.57143,4.7619,0.0,76.19048,38.09524,19.04762,14.28571,95.2381,71.42857,38.09524,23.80952,9.52381,61.90476
Cagliari,36.84211,36.84211,26.31579,84.21053,42.10526,10.52632,10.52632,89.47368,42.10526,21.05263,5.26316,89.47368,89.47368,63.15789,31.57895,15.78947,84.21053
Frosinone,42.10526,21.05263,36.84211,78.94737,52.63158,15.78947,5.26316,78.94737,42.10526,31.57895,5.26316,89.47368,84.21053,73.68421,36.84211,26.31579,78.94737
Udinese,9.52381,52.38095,38.09524,76.19048,28.57143,14.28571,4.7619,85.71429,52.38095,14.28571,0.0,90.47619,90.47619,52.38095,23.80952,14.28571,76.19048
Empoli,21.05263,26.31579,52.63158,42.10526,15.78947,15.78947,0.0,68.42105,36.84211,15.78947,5.26316,84.21053,52.63158,31.57895,10.52632,10.52632,42.10526
Sassuolo,25.0,30.0,45.0,75.0,30.0,20.0,10.0,85.0,60.0,25.0,10.0,100.0,80.0,50.0,35.0,25.0,75.0
Salernitana,14.28571,23.80952,61.90476,71.42857,23.80952,4.7619,4.7619,90.47619,71.42857,14.28571,4.7619,100.0,90.47619,66.66667,28.57143,0.0,71.42857
es Real Sociedad,,,,,,,,,,,,,,,,,
pt Benfica,,,,,,,,,,,,,,,,,
at RB Salzburg,,,,,,,,,,,,,,,,,
es Atlético Madrid,,,,,,,,,,,,,,,,,
Inter,,,,,,,,,,,,,,,,,
eng Newcastle Utd,,,,,,,,,,,,,,,,,
de Dortmund,,,,,,,,,,,,,,,,,
fr Paris S-G,,,,,,,,,,,,,,,,,
fr Rennes,,,,,,,,,,,,,,,,,
cz Slavia Prague,,,,,,,,,,,,,,,,,
it Roma,,,,,,,,,,,,,,,,,
Cesena,,,,,,,,,,,,,,,,,
pl RKS Raków,,,,,,,,,,,,,,,,,
pt Sporting CP,,,,,,,,,,,,,,,,,
at Sturm Graz,,,,,,,,,,,,,,,,,
eng Liverpool,,,,,,,,,,,,,,,,,
fr Marseille,,,,,,,,,,,,,,,,,
md Sheriff Tiraspol,,,,,,,,,,,,,,,,,
ch Servette FC,,,,,,,,,,,,,,,,,
Cremonese,,,,,,,,,,,,,,,,,
nl Feyenoord,,,,,,,,,,,,,,,,,
eng Brighton,,,,,,,,,,,,,,,,,
it Milan,,,,,,,,,,,,,,,,,
de Leverkusen,,,,,,,,,,,,,,,,,
sct Celtic,,,,,,,,,,,,,,,,,
de Bayern Munich,,,,,,,,,,,,,,,,,
at Rapid Wien,,,,,,,,,,,,,,,,,
be Genk,,,,,,,,,,,,,,,,,
hu Ferencváros,,,,,,,,,,,,,,,,,
rs Čukarički,,,,,,,,,,,,,,,,,
Parma,,,,,,,,,,,,,,,,,
il Maccabi Haifa,,,,,,,,,,,,,,,,,
cz Viktoria Plzeň,,,,,,,,,,,,,,,,,
be Club Brugge,,,,,,,,,,,,,,,,,
FeralpiSalò,,,,,,,,,,,,,,,,,
pt Braga,,,,,,,,,,,,,,,,,
es Real Madrid,,,,,,,,,,,,,,,,,
de Union Berlin,,,,,,,,,,,,,,,,,
es Barcelona,,,,,,,,,,,,,,,,,
Modena,,,,,,,,,,,,,,,,,
Reggiana,,,,,,,,,,,,,,,,,
Ascoli,,,,,,,,,,,,,,,,,
Como,,,,,,,,,,,,,,,,,
Palermo,,,,,,,,,,,,,,,,,
Pisa,,,,,,,,,,,,,,,,,
Catanzaro,,,,,,,,,,,,,,,,,
Cittadella,,,,,,,,,,,,,,,,,
Cosenza,,,,,,,,,,,,,,,,,
Spezia,,,,,,,,,,,,,,,,,
Ternana,,,,,,,,,,,,,,,,,
Sampdoria,,,,,,,,,,,,,,,,,
