,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score
Internazionale,72.91667,18.75,8.33333,95.83333,62.5,31.25,20.83333,43.75,14.58333,4.16667,2.08333,97.91667,77.08333,52.08333,29.16667,12.5,95.83333
Milan,54.90196,19.60784,25.4902,86.27451,58.82353,33.33333,7.84314,68.62745,37.2549,17.64706,3.92157,94.11765,74.5098,68.62745,45.09804,23.52941,86.27451
Bologna,51.21951,36.58537,12.19512,78.04878,53.65854,17.07317,7.31707,53.65854,21.95122,7.31707,2.43902,85.36585,75.60976,43.90244,17.07317,7.31707,78.04878
Juventus,52.38095,33.33333,14.28571,83.33333,45.2381,19.04762,4.7619,54.7619,19.04762,4.7619,2.38095,90.47619,64.28571,42.85714,21.42857,9.52381,83.33333
Atalanta,56.60377,18.86792,24.5283,86.79245,60.37736,26.41509,9.43396,64.15094,24.5283,7.54717,1.88679,98.11321,84.90566,60.37736,26.41509,13.20755,86.79245
Roma,49.0566,24.5283,26.41509,83.01887,50.9434,20.75472,13.20755,69.81132,30.18868,9.43396,3.77358,96.22642,79.24528,56.60377,32.07547,13.20755,83.01887
Lazio,50.0,14.0,36.0,76.0,32.0,10.0,2.0,64.0,34.0,10.0,0.0,96.0,68.0,40.0,18.0,6.0,76.0
Fiorentina,41.81818,30.90909,27.27273,76.36364,49.09091,21.81818,12.72727,74.54545,34.54545,12.72727,5.45455,96.36364,74.54545,50.90909,34.54545,20.0,76.36364
Torino,35.89744,35.89744,28.20513,58.97436,30.76923,10.25641,0.0,53.84615,25.64103,10.25641,2.5641,76.92308,64.10256,33.33333,10.25641,7.69231,58.97436
Napoli,35.41667,31.25,33.33333,70.83333,47.91667,14.58333,8.33333,81.25,35.41667,16.66667,4.16667,93.75,81.25,56.25,33.33333,10.41667,70.83333
Genoa,32.5,32.5,35.0,72.5,35.0,10.0,5.0,80.0,27.5,12.5,5.0,92.5,67.5,45.0,20.0,15.0,72.5
Monza,28.94737,31.57895,39.47368,65.78947,23.68421,13.15789,2.63158,68.42105,39.47368,15.78947,7.89474,86.84211,65.78947,42.10526,21.05263,15.78947,65.78947
Hellas Verona,25.64103,25.64103,48.71795,69.23077,25.64103,5.12821,0.0,79.48718,41.02564,12.82051,0.0,92.30769,64.10256,48.71795,23.07692,2.5641,69.23077
Lecce,23.07692,33.33333,43.58974,61.53846,23.07692,5.12821,0.0,82.05128,41.02564,15.38462,10.25641,97.4359,74.35897,38.46154,20.51282,5.12821,61.53846
Cagliari,25.0,30.0,45.0,72.5,30.0,5.0,5.0,87.5,52.5,25.0,10.0,92.5,85.0,60.0,30.0,12.5,72.5
Frosinone,26.82927,26.82927,46.34146,70.73171,36.58537,12.19512,4.87805,78.04878,48.78049,31.70732,12.19512,87.80488,80.4878,63.41463,39.02439,21.95122,70.73171
Udinese,15.38462,48.71795,35.89744,71.79487,23.07692,7.69231,2.5641,79.48718,43.58974,15.38462,5.12821,89.74359,82.05128,41.02564,23.07692,10.25641,71.79487
Empoli,21.05263,23.68421,55.26316,44.73684,15.78947,13.15789,0.0,76.31579,42.10526,13.15789,5.26316,89.47368,63.15789,31.57895,13.15789,10.52632,44.73684
Sassuolo,20.0,22.5,57.5,70.0,32.5,15.0,10.0,92.5,65.0,30.0,12.5,100.0,80.0,60.0,37.5,25.0,70.0
Salernitana,10.0,25.0,65.0,62.5,20.0,2.5,2.5,90.0,70.0,30.0,15.0,97.5,85.0,65.0,32.5,10.0,62.5
es Real Sociedad,,,,,,,,,,,,,,,,,
pt Benfica,,,,,,,,,,,,,,,,,
at RB Salzburg,,,,,,,,,,,,,,,,,
es Atlético Madrid,,,,,,,,,,,,,,,,,
Inter,,,,,,,,,,,,,,,,,
eng Newcastle Utd,,,,,,,,,,,,,,,,,
de Dortmund,,,,,,,,,,,,,,,,,
fr Paris S-G,,,,,,,,,,,,,,,,,
fr Rennes,,,,,,,,,,,,,,,,,
cz Slavia Prague,,,,,,,,,,,,,,,,,
it Roma,,,,,,,,,,,,,,,,,
Cesena,,,,,,,,,,,,,,,,,
pl RKS Raków,,,,,,,,,,,,,,,,,
pt Sporting CP,,,,,,,,,,,,,,,,,
at Sturm Graz,,,,,,,,,,,,,,,,,
eng Liverpool,,,,,,,,,,,,,,,,,
fr Marseille,,,,,,,,,,,,,,,,,
md Sheriff Tiraspol,,,,,,,,,,,,,,,,,
ch Servette FC,,,,,,,,,,,,,,,,,
Cremonese,,,,,,,,,,,,,,,,,
nl Feyenoord,,,,,,,,,,,,,,,,,
eng Brighton,,,,,,,,,,,,,,,,,
it Milan,,,,,,,,,,,,,,,,,
de Leverkusen,,,,,,,,,,,,,,,,,
sct Celtic,,,,,,,,,,,,,,,,,
de Bayern Munich,,,,,,,,,,,,,,,,,
at Rapid Wien,,,,,,,,,,,,,,,,,
be Genk,,,,,,,,,,,,,,,,,
hu Ferencváros,,,,,,,,,,,,,,,,,
rs Čukarički,,,,,,,,,,,,,,,,,
Parma,,,,,,,,,,,,,,,,,
il Maccabi Haifa,,,,,,,,,,,,,,,,,
cz Viktoria Plzeň,,,,,,,,,,,,,,,,,
be Club Brugge,,,,,,,,,,,,,,,,,
FeralpiSalò,,,,,,,,,,,,,,,,,
pt Braga,,,,,,,,,,,,,,,,,
es Real Madrid,,,,,,,,,,,,,,,,,
de Union Berlin,,,,,,,,,,,,,,,,,
es Barcelona,,,,,,,,,,,,,,,,,
Modena,,,,,,,,,,,,,,,,,
Reggiana,,,,,,,,,,,,,,,,,
Ascoli,,,,,,,,,,,,,,,,,
Como,,,,,,,,,,,,,,,,,
Palermo,,,,,,,,,,,,,,,,,
Pisa,,,,,,,,,,,,,,,,,
Catanzaro,,,,,,,,,,,,,,,,,
Cittadella,,,,,,,,,,,,,,,,,
Cosenza,,,,,,,,,,,,,,,,,
Spezia,,,,,,,,,,,,,,,,,
Ternana,,,,,,,,,,,,,,,,,
Sampdoria,,,,,,,,,,,,,,,,,
